categoria,nome,url,formato,objetivo,status_http,content_type,bytes,sha256,raw_path,status_coleta,observacao
audesp,AUDESP,https://www.tce.sp.gov.br/audesp,html,pagina institucional e links publicos AUDESP,200,text/html; charset=UTF-8,61157,b0add153fb6421e479260b1b55d6f4c7795c3fefb476cabbdc4410acb00a97bb,/home/sallumc/Documents/Omega/02-repos/00-anatomia-do-gasto/data/raw/paulinia/tce/2026-06-13/fontes/audesp/audesp.html,ok,
audesp,AUDESP comunicados,https://www.tce.sp.gov.br/comunicados?area=26,html,indice de comunicados da area AUDESP,200,text/html; charset=UTF-8,92227,6cc5e88e9b954c5f803ffd42627058a275ed5c6970b6116e7ac5700b8ac9ff78,/home/sallumc/Documents/Omega/02-repos/00-anatomia-do-gasto/data/raw/paulinia/tce/2026-06-13/fontes/audesp/audesp_comunicados.html,ok,
processos,Pesquisa de Processos,https://www.tce.sp.gov.br/processos,html,entrada oficial da busca processual,200,text/html; charset=UTF-8,58171,8f953c3a8d1e2ddfde634d00ea10661ac33dda212ab92df8e482e597d23d3320,/home/sallumc/Documents/Omega/02-repos/00-anatomia-do-gasto/data/raw/paulinia/tce/2026-06-13/fontes/processos/pesquisa_de_processos.html,ok,
processos,Iframe pesquisa processual,https://www10.tce.sp.gov.br/pesquisa-drupal.asp,html,formulario legado usado pela pagina de processos,200,text/html,55711,3c063653dda614bb0d88105f8ae3695809447de5162c55386875c7449e257875,/home/sallumc/Documents/Omega/02-repos/00-anatomia-do-gasto/data/raw/paulinia/tce/2026-06-13/fontes/processos/iframe_pesquisa_processual.html,ok,
contas_anuais,Contas Anuais Municipais (Zip),https://transparencia.tce.sp.gov.br/sites/default/files/conjunto-dados/pareceres/pareceres.zip,zip,base de dados consolidada de pareceres prévios de contas municipais,200,application/zip,89422,3e1b1d31645641b3cc2c5b5cafb8ab1ecfcac8ecc1c5e58930783d3b6a1d70b7,/home/sallumc/Documents/Omega/02-repos/00-anatomia-do-gasto/data/raw/paulinia/tce/2026-06-13/fontes/contas_anuais/contas_anuais_municipais_zip.zip,ok,
transparencia,Portal da Transparencia Municipal,https://transparencia.tce.sp.gov.br/,html,entrada do portal municipal mantido pelo TCE-SP,200,text/html; charset=UTF-8,19612,925ac5a89101242250055de0744c014944ea9d41785d6654e0166683416cdd4d,/home/sallumc/Documents/Omega/02-repos/00-anatomia-do-gasto/data/raw/paulinia/tce/2026-06-13/fontes/transparencia/portal_da_transparencia_municipal.html,ok,
transparencia,APIs do Portal da Transparencia Municipal,https://transparencia.tce.sp.gov.br/apis,html,documentacao de endpoints publicos JSON/XML,200,text/html; charset=UTF-8,23625,44e716cb3dbd08381d4e8e1232a6e401cc8abeb415d5a8157c2e44ae8141fb15,/home/sallumc/Documents/Omega/02-repos/00-anatomia-do-gasto/data/raw/paulinia/tce/2026-06-13/fontes/transparencia/apis_do_portal_da_transparencia_municipal.html,ok,
transparencia,Conjunto de Dados,https://transparencia.tce.sp.gov.br/conjunto-de-dados,html,"arquivos abertos de despesas, receitas e alertas",200,text/html; charset=UTF-8,155677,99c9104b227400218634659f6065b4dc3e79d287f048aef0d13e25bd98371d7c,/home/sallumc/Documents/Omega/02-repos/00-anatomia-do-gasto/data/raw/paulinia/tce/2026-06-13/fontes/transparencia/conjunto_de_dados.html,ok,
transparencia,Municipios API,https://transparencia.tce.sp.gov.br/api/json/municipios,json,lista oficial de slugs de municipios,200,application/json,40930,d6e9151482fa7593db9ee18b335ec1f35e5f4ef2d12bdf2ae7fc1929fb555771,/home/sallumc/Documents/Omega/02-repos/00-anatomia-do-gasto/data/raw/paulinia/tce/2026-06-13/fontes/transparencia/municipios_api.json,ok,
alertas,Alertas analitico,https://transparencia.tce.sp.gov.br/sites/default/files/conjunto-dados/alertas/alertas_analitico.csv,csv,"base analitica de alertas por municipio, entidade e item",200,text/csv,1272577,4400ead37b2eea36aa89be5de17a7e514c38caa1f0dbd0fffaef9801e22e93c7,/home/sallumc/Documents/Omega/02-repos/00-anatomia-do-gasto/data/raw/paulinia/tce/2026-06-13/fontes/alertas/alertas_analitico.csv,ok,
mapa_camaras,Mapa das Camaras,https://painel.tce.sp.gov.br/pentaho/api/repos/%3Apublic%3ACamara%3Acamara.wcdf/generatedContent?password=zero&userid=anony,html,painel oficial de custos e julgamento de contas das camaras,200,text/html;charset=UTF-8,73438,9be0046e55d48744bcefc3b402ffc3501f6ce0ddbd068fbb98b569199d876792,/home/sallumc/Documents/Omega/02-repos/00-anatomia-do-gasto/data/raw/paulinia/tce/2026-06-13/fontes/mapa_camaras/mapa_das_camaras.html,ok,
