nivel,status_auditavel,orgao,area,tipo_dado,periodo_alvo,pronto_publicar,proximo_passo,pedido_lai,evidencia_local
2-lai-necessario,lai_necessario,Prefeitura,orcamento,ppa,2020-2026,nao,inventariar_links_por_ano,sim,inventario_fontes_sorocaba.csv; fonte oficial ainda pendente de coleta ou prova de indisponibilidade
2-lai-necessario,lai_necessario,Prefeitura,orcamento,ldo,2020-2026,nao,inventariar_links_por_ano,sim,inventario_fontes_sorocaba.csv; fonte oficial ainda pendente de coleta ou prova de indisponibilidade
1-sem-lai,publicado_parcial,Prefeitura,orcamento,loa,2020-2026,sim,validar_2020_orgaos_funcoes,nao,LOA 2020-2026 publicada em data/public/sorocaba/orcamento/loa/saida/loa_sorocaba_{ano}.csv via baixar_loa_prefeitura.py; 2020 apenas totais (lei via LeisMunicipais sem quadros); 2021-2026 com orgaos e funcoes; audiencias publicas LOA ja publicadas separadamente (2022-2026)
1-sem-lai,publicado_parcial,Prefeitura,orcamento,audiencias_publicas,2022-2026,sim,verificar_disponibilidade_2020_2021_no_portal,nao,data/public/sorocaba/loa/saida/audiencia_loa_sorocaba_{ano}.csv; 5 anos publicados (2022-2026); gerado por gerar_audiencia_loa.py; 2020-2021 ausentes no portal
1-sem-lai,publicado_parcial,Prefeitura,receita,registro_analitico_receita_orcamentaria,2020-2026,sim,proxy_publicado; serie_mensal_detalhada_via_lai,sim,inventario_fontes_sorocaba.csv; fonte oficial ainda pendente de coleta ou prova de indisponibilidade
2-lai-necessario,lai_necessario,Prefeitura,receita,registro_analitico_receita_extraorcamentaria,2020-2026,nao,baixar_e_extrair,sim,inventario_fontes_sorocaba.csv; fonte oficial ainda pendente de coleta ou prova de indisponibilidade
1-sem-lai,publicado_parcial,Prefeitura,receita,balancetes_receita,2020-2026,sim,proxy_publicado; manter_lai_para_serie_mensal,sim,inventario_fontes_sorocaba.csv; fonte oficial ainda pendente de coleta ou prova de indisponibilidade
1-sem-lai,publicado,Prefeitura,despesa,registro_de_empenhos,2020-2026,sim,baixar_e_extrair,nao,inventario_fontes_sorocaba.csv; fonte oficial ainda pendente de coleta ou prova de indisponibilidade
1-sem-lai,publicado_parcial,Prefeitura,despesa,registro_analitico_despesa_orcamentaria,2020-2025,sim,coletar_2026_quando_exercicio_encerrar,nao,data/public/sorocaba/despesa/saida/despesa_orcamentaria_sorocaba_{ano}.csv; 6 anos (2020-2025); ~32k registros/ano; orgao+unidade+natureza+programa+fornecedor+valores; extrator_despesa_orcamentaria.py
2-lai-necessario,lai_necessario,Prefeitura,despesa,registro_analitico_despesa_extraorcamentaria,2020-2026,nao,baixar_e_extrair,sim,inventario_fontes_sorocaba.csv; fonte oficial ainda pendente de coleta ou prova de indisponibilidade
1-sem-lai,publicado,Prefeitura,fornecedores,conta_corrente_fornecedor,2020-2026,sim,baixar_2021_2023_e_publicar_apos_validacao,sim_preparado,inventario oficial e roadmap Sorocaba 100
1-sem-lai,publicado,Prefeitura,fornecedores,conta_corrente_restos_a_pagar_por_fornecedor,2020-2026,sim,baixar_e_extrair,sim_preparado,inventario_fontes_sorocaba.csv; fonte oficial ainda pendente de coleta ou prova de indisponibilidade
