categoria,nome,url,formato,objetivo,status_http,content_type,bytes,sha256,raw_path,status_coleta,observacao
audesp,AUDESP,https://www.tce.sp.gov.br/audesp,html,pagina institucional e links publicos AUDESP,200,text/html; charset=UTF-8,61151,e0996f6cf902276517d66174a1d76a9708e149d2a1010cb2de30ef796cf8380f,data/raw/sorocaba/tce/2026-05-29/fontes/audesp/audesp.html,ok,
audesp,AUDESP comunicados,https://www.tce.sp.gov.br/comunicados?area=26,html,indice de comunicados da area AUDESP,200,text/html; charset=UTF-8,92163,81d2cddd8622d67095633c443a7e961d327502ad4c2148e9d8c22feeaee840d9,data/raw/sorocaba/tce/2026-05-29/fontes/audesp/audesp_comunicados.html,ok,
processos,Pesquisa de Processos,https://www.tce.sp.gov.br/processos,html,entrada oficial da busca processual,200,text/html; charset=UTF-8,58165,a0e633b07dc96166fbf4884f5412771d54204407b4f269b713e0a28f4f747bac,data/raw/sorocaba/tce/2026-05-29/fontes/processos/pesquisa_de_processos.html,ok,
processos,Iframe pesquisa processual,https://www10.tce.sp.gov.br/pesquisa-drupal.asp,html,formulario legado usado pela pagina de processos,200,text/html,55721,f46f33dac374639dbbe9a0c0dcdee3b3fe10c3a0c6e8646eb1f449c83f533591,data/raw/sorocaba/tce/2026-05-29/fontes/processos/iframe_pesquisa_processual.html,ok,
contas_anuais,Contas Anuais,https://www.tce.sp.gov.br/contas-anuais,html,"suplementos, pareceres e resultados de contas anuais",200,text/html; charset=UTF-8,282346,44ee6757df91063fd9e82b38388cafd487022775744cf24dcc765eb9dbf2f355,data/raw/sorocaba/tce/2026-05-29/fontes/contas_anuais/contas_anuais.html,ok,
transparencia,Portal da Transparencia Municipal,https://transparencia.tce.sp.gov.br/,html,entrada do portal municipal mantido pelo TCE-SP,200,text/html; charset=UTF-8,19612,925ac5a89101242250055de0744c014944ea9d41785d6654e0166683416cdd4d,data/raw/sorocaba/tce/2026-05-29/fontes/transparencia/portal_da_transparencia_municipal.html,ok,
transparencia,APIs do Portal da Transparencia Municipal,https://transparencia.tce.sp.gov.br/apis,html,documentacao de endpoints publicos JSON/XML,200,text/html; charset=UTF-8,23625,44e716cb3dbd08381d4e8e1232a6e401cc8abeb415d5a8157c2e44ae8141fb15,data/raw/sorocaba/tce/2026-05-29/fontes/transparencia/apis_do_portal_da_transparencia_municipal.html,ok,
transparencia,Conjunto de Dados,https://transparencia.tce.sp.gov.br/conjunto-de-dados,html,"arquivos abertos de despesas, receitas e alertas",200,text/html; charset=UTF-8,155677,d06f7a053096d49301a87dbabdeaf88d12903fb0b5d1d34c04be500497292f61,data/raw/sorocaba/tce/2026-05-29/fontes/transparencia/conjunto_de_dados.html,ok,
transparencia,Municipios API,https://transparencia.tce.sp.gov.br/api/json/municipios,json,lista oficial de slugs de municipios,200,application/json,40930,d6e9151482fa7593db9ee18b335ec1f35e5f4ef2d12bdf2ae7fc1929fb555771,data/raw/sorocaba/tce/2026-05-29/fontes/transparencia/municipios_api.json,ok,
alertas,Alertas analitico,https://transparencia.tce.sp.gov.br/sites/default/files/conjunto-dados/alertas/alertas_analitico.csv,csv,"base analitica de alertas por municipio, entidade e item",200,text/csv,1272577,4400ead37b2eea36aa89be5de17a7e514c38caa1f0dbd0fffaef9801e22e93c7,data/raw/sorocaba/tce/2026-05-29/fontes/alertas/alertas_analitico.csv,ok,
alertas_sdg,SDG 41/2025,https://www.tce.sp.gov.br/sites/default/files/legislacao/COMUNICADO%20SDG%2041-2025%20-%20Alertas%202Bim_disponibilizado%20no%20dia%2014%20de%20junho%20de%202025.pdf,pdf,comunicado oficial de alertas LRF SDG,200,application/pdf,632397,16d7de13cbc43f6bbd5985ff32171a32916dc5550d2444189f2efd499b96cb44,data/raw/sorocaba/tce/2026-05-29/fontes/alertas_sdg/sdg_41_2025.pdf,ok,
alertas_sdg,SDG 48/2025,https://www.tce.sp.gov.br/sites/default/files/legislacao/COMUNICADO-SDG-48-2025-JUNHO_disponibilizado%20no%20dia%2013%20de%20agosto%20de%202025.pdf,pdf,comunicado oficial de alertas LRF SDG,200,application/pdf,597871,3cd11e1580a76f137f5434fb35c5a307b37b8ca4c3b1513d3d620750b1c1dafa,data/raw/sorocaba/tce/2026-05-29/fontes/alertas_sdg/sdg_48_2025.pdf,ok,
alertas_sdg,SDG 57/2025,https://www.tce.sp.gov.br/sites/default/files/legislacao/COMUNICADO-SDG-57-2025-OUTUBRO_disponibilizado%20no%20dia%2010%20de%20outubro%20de%202025.pdf,pdf,comunicado oficial de alertas LRF SDG,200,application/pdf,600245,7c32760208b02fc296f0cb3239f4379c607ce62f9f5bc83d158a4fae184748a9,data/raw/sorocaba/tce/2026-05-29/fontes/alertas_sdg/sdg_57_2025.pdf,ok,
alertas_sdg,SDG 75/2025,https://www.tce.sp.gov.br/sites/default/files/legislacao/Comunicado%20SDG%2075-2025%20-%20Alertas%205-BIM%20CORRIGIDO.pdf,pdf,comunicado oficial de alertas LRF SDG,200,application/pdf,602187,aed83908a56e7f278f032b8a730b409bc29cd91de43213793e6e9f6189befe16,data/raw/sorocaba/tce/2026-05-29/fontes/alertas_sdg/sdg_75_2025.pdf,ok,
