date,source,query,matched_route,score,outcome_signal,scope_check,lesson,action,status,related_path,privacy
2026-05-29,train-theo,o que e a anatomia do gasto,sobre,2,mismatch_got_sobre,in,Add keywords to route 'missao-ong' to match query 'o que e a anatomia do gasto' (currently got sobre score=2; gap_type=none),"promovido em theo-guide.tsx (2026-07-11, revisao humana): keyword adicionada/rota corrigida",promoted,apps/web/components/theo/theo-guide.tsx,sanitized
2026-05-29,train-theo,qual a missao da ong,missao-ong,2,match_low_confidence,in,Add keywords to route 'missao-ong' to match query 'qual a missao da ong' (currently got missao-ong score=2; gap_type=none),review_and_promote,candidate,apps/web/components/theo/theo-guide.tsx,sanitized
2026-05-29,train-theo,quem mantem o projeto,sobre,2,mismatch_got_sobre,in,Add keywords to route 'missao-ong' to match query 'quem mantem o projeto' (currently got sobre score=2; gap_type=none),"promovido em theo-guide.tsx (2026-07-11, revisao humana): keyword adicionada/rota corrigida",promoted,apps/web/components/theo/theo-guide.tsx,sanitized
2026-05-29,train-theo,o projeto e do governo,sobre,2,mismatch_got_sobre,in,Add keywords to route 'missao-ong' to match query 'o projeto e do governo' (currently got sobre score=2; gap_type=none),"promovido em theo-guide.tsx (2026-07-11, revisao humana): keyword adicionada/rota corrigida",promoted,apps/web/components/theo/theo-guide.tsx,sanitized
2026-05-29,train-theo,e apartidario,sobre,1,mismatch_got_sobre,in,Add keywords to route 'missao-ong' to match query 'e apartidario' (currently got sobre score=1; gap_type=none),"promovido para rota 'apartidarismo' em theo-guide.tsx (2026-05-29, revisao humana)",promoted,apps/web/components/theo/theo-guide.tsx,sanitized
2026-05-29,train-theo,como contribuir com o projeto,sobre,1,mismatch_got_sobre,in,Add keywords to route 'voluntariado' to match query 'como contribuir com o projeto' (currently got sobre score=1; gap_type=none),"promovido em theo-guide.tsx (2026-07-11, revisao humana): keyword adicionada/rota corrigida",promoted,apps/web/components/theo/theo-guide.tsx,sanitized
2026-05-29,train-theo,quero ser voluntario,voluntariado,2,match_low_confidence,in,Add keywords to route 'voluntariado' to match query 'quero ser voluntario' (currently got voluntariado score=2; gap_type=none),"promovido em theo-guide.tsx (2026-07-11, revisao humana): keyword adicionada/rota corrigida",promoted,apps/web/components/theo/theo-guide.tsx,sanitized
2026-05-29,train-theo,como ajudar,voluntariado,2,match_low_confidence,in,Add keywords to route 'voluntariado' to match query 'como ajudar' (currently got voluntariado score=2; gap_type=none),"promovido em theo-guide.tsx (2026-07-11, revisao humana): keyword adicionada/rota corrigida",promoted,apps/web/components/theo/theo-guide.tsx,sanitized
2026-05-29,train-theo,como doar,fontes,0,fallback_in_scope,in,Consider new route for query 'como doar' (fallback returned; gap_type=missing_keyword; scope=in),"promovido em theo-guide.tsx (2026-07-11, revisao humana): keyword adicionada/rota corrigida",promoted,apps/web/components/theo/theo-guide.tsx,sanitized
2026-05-29,train-theo,como fazer pedido de lai,fontes,0,fallback_in_scope,in,Consider new route for query 'como fazer pedido de lai' (fallback returned; gap_type=missing_route; scope=in),"promovido para rota 'lai' em theo-guide.tsx (2026-05-29, revisao humana)",promoted,apps/web/components/theo/theo-guide.tsx,sanitized
2026-05-29,train-theo,prazo da lai,fontes,0,fallback_in_scope,in,Consider new route for query 'prazo da lai' (fallback returned; gap_type=missing_route; scope=in),"promovido para rota 'lai' em theo-guide.tsx (2026-05-29, revisao humana)",promoted,apps/web/components/theo/theo-guide.tsx,sanitized
2026-05-29,train-theo,e-sic como funciona,fontes,0,fallback_in_scope,in,Consider new route for query 'e-sic como funciona' (fallback returned; gap_type=missing_route; scope=in),"promovido para rota 'lai' em theo-guide.tsx (2026-05-29, revisao humana)",promoted,apps/web/components/theo/theo-guide.tsx,sanitized
2026-05-29,train-theo,o que e lei de acesso a informacao,sobre,1,mismatch_got_sobre,in,Add keywords to route 'auditoria-dados' to match query 'o que e lei de acesso a informacao' (currently got sobre score=1; gap_type=missing_route),"promovido para rota 'lai' em theo-guide.tsx (2026-05-29, revisao humana)",promoted,apps/web/components/theo/theo-guide.tsx,sanitized
