name,type,command_path,read_paths,write_paths,validation_commands,gates,autonomy,handoff_visibility,risks
analista,analysis,.claude/commands/analista.md,"data/public;data/manifests;docs","none","source scope check","no raw/extracted/validated;no secrets","automatic-readonly","public-or-local","turning absent data into zero;using unpublished data as fact"
dados,collection,.claude/commands/dados.md,"data/raw inventory;data/manifests;docs/portais-municipios.md;official URLs","data/raw;data/manifests scoped","download count;size;checksum when available","no apps;no extracted;no validated;no data/public analysis;no secrets;G drive requires explicit approval","semi-autonomous-local","local-safe-default","downloading wrong source;large files;portal ambiguity"
dba,schema,.claude/commands/dba.md,"data/public;data/manifests;docs;apps/web/lib/data.ts;pipelines/paths.py","docs when requested","schema consistency check","no data writes;no apps/pipeline code edits;no secrets","automatic-readonly","public-or-local","schema drift across municipalities"
deploy,release,.claude/commands/deploy.md,"git status;apps/web/package.json;build logs;public manifests","none","lint;build;security scope review","explicit approval for commit/push/deploy;no secrets;no raw data","supervised-only","public-or-local","publishing unvalidated data;deploying dirty diff"
engenheiro,engineering,.claude/commands/engenheiro.md,"explicit scoped paths;CODEX.md;ORQUESTRADOR.md","explicit scoped paths","module checks for touched area","no data layers;no secrets;no install;no commit/push","supervised-write","public-or-local","broad refactor conflicts;parallel edits"
frontend,frontend,.claude/commands/frontend.md,"apps/web;data/public;data/manifests","apps/web","npm lint;npm build;route check","no raw/extracted/validated;no secrets;no npm install without approval","semi-autonomous-local","public-or-local","frontend reading unpublished data"
iniciar,status,.claude/commands/iniciar.md,"environment status;git;data/public;data/manifests","none","status commands only","no secrets;no writes","automatic-readonly","local-safe","over-reading context"
monitor,monitoring,.claude/commands/monitor.md,"data/public;data/manifests;docs/portais-municipios.md;C:/Omega/tmp public status","none","freshness;coverage;route status","no raw/extracted/validated;no secrets","automatic-readonly","local-safe","false freshness assumptions"
onboarding,onboarding,.claude/commands/onboarding.md,"docs;data/manifests;pipelines/paths.py;apps/web/lib/data.ts;official URLs","docs/portais-municipios.md;data/manifests when authorized","portal check;code prerequisite check","no apps/pipeline/data writes without next agent;no secrets","semi-autonomous-local","public-or-local","wrong portal mapping;municipality hardcoding"
orquestrador,routing,.claude/commands/orquestrador.md,"AI_MASTER_PROMPT.md;ORQUESTRADOR.md;docs/agentes-contexto.md;memory;git status","none","route plan;agent contract check","does not publish;does not commit/push/deploy;does not authorize gates","automatic-readonly","public-or-local","over-delegation;passing too much context"
pipeline,data-engineering,.claude/commands/pipeline.md,"data/raw scoped;pipelines scoped;data/manifests","data/extracted;pipelines scoped;data/validated only when authorized","py_compile;specific validators","no apps;no secrets;no data/public publication","semi-autonomous-local","public-or-local","parser errors;publishing before QA"
playwright,scraper,.claude/commands/playwright.md,"data/raw inventory;pipelines;official URLs","data/raw;pipelines/baixar_*playwright*.py","PDF header;file count;script compile","no extracted/public/apps/secrets;no npm install","semi-autonomous-local","local-safe-default","WAF/portal fragility;large downloads"
qa,quality,.claude/commands/qa.md,"data/extracted;data/validated;data/manifests;docs schemas","none","integrity report PASS/FAIL","no public/raw/apps/secrets;no writes","automatic-readonly","public-or-local","false PASS;schema mismatch"
seguranca,security,.claude/commands/seguranca.md,"tools/security;docs/security;gitignore;package metadata;C:/Omega/tmp status","tools/security/docs when requested","security checks;supply-chain triage","no data layers;no secrets;hardening/firewall requires approval","automatic-readonly","local-safe","missing secret exposure;false positives"
tablet,device,.claude/commands/tablet.md,"tools/tablet;docs/ambiente.md;docs/seguranca.md","tools/tablet/docs when requested;tablet sync public data only","ADB/SSH check when authorized","no raw/extracted/validated;no secrets;debloat requires approval","semi-autonomous-local","local-safe","device destructive action;key leakage"
