data_protocolo,numero_esic,orgao,dataset,descricao,prazo_resposta,status,data_resposta,resultado,observacao
24/05/2026,03959202600015274,Prefeitura de Sorocaba,registro_analitico_despesa_orcamentaria,"Despesa orcamentaria analitica 2020-2026",15/06/2026,protocolado,,,"Solicito os dados de registro_analitico_despesa_orcamentaria relativos a despesa de Sorocaba/SP, com cobertura de 2020 a 2026, contendo no minimo identificador do registro, data ou competencia, valor, orgao/unidade responsavel, classificacao aplicavel, fonte original e eventuais documentos vinculados. Caso a informacao nao exista ou nao seja mantida por este orgao, solicito indicacao expressa do motivo e do orgao responsavel pela guarda do dado."
,,Prefeitura de Sorocaba,conta_corrente_fornecedor,"Conta corrente de fornecedor 2020-2026",,pendente,,,"Solicito os dados de conta_corrente_fornecedor relativos a fornecedores de Sorocaba/SP, com cobertura de 2020 a 2026, contendo no minimo identificador do registro, data ou competencia, valor, orgao/unidade responsavel, classificacao aplicavel, fonte original e eventuais documentos vinculados. Caso a informacao nao exista ou nao seja mantida por este orgao, solicito indicacao expressa do motivo e do orgao responsavel pela guarda do dado."
,,Prefeitura de Sorocaba,conta_corrente_restos_a_pagar_por_fornecedor,"Restos a pagar por fornecedor 2020-2026",,pendente,,,"Solicito os dados de conta_corrente_restos_a_pagar_por_fornecedor relativos a fornecedores de Sorocaba/SP, com cobertura de 2020 a 2026, contendo no minimo identificador do registro, data ou competencia, valor, orgao/unidade responsavel, classificacao aplicavel, fonte original e eventuais documentos vinculados. Caso a informacao nao exista ou nao seja mantida por este orgao, solicito indicacao expressa do motivo e do orgao responsavel pela guarda do dado."
,,Prefeitura de Sorocaba,obras_publicas,"Obras publicas municipais 2020-2026",,pendente,,,"Solicito os dados de obras_publicas relativos a obras de Sorocaba/SP, com cobertura de 2020 a 2026, contendo no minimo identificador do registro, data ou competencia, valor, orgao/unidade responsavel, classificacao aplicavel, fonte original e eventuais documentos vinculados. Caso a informacao nao exista ou nao seja mantida por este orgao, solicito indicacao expressa do motivo e do orgao responsavel pela guarda do dado."
,,Prefeitura de Sorocaba,contratos_e_aditivos,"Contratos e aditivos municipais 2020-2026",,pendente,,,"Solicito os dados de contratos_e_aditivos relativos a contratos de Sorocaba/SP, com cobertura de 2020 a 2026, contendo no minimo identificador do registro, data ou competencia, valor, orgao/unidade responsavel, classificacao aplicavel, fonte original e eventuais documentos vinculados. Caso a informacao nao exista ou nao seja mantida por este orgao, solicito indicacao expressa do motivo e do orgao responsavel pela guarda do dado."
,,Camara Municipal de Sorocaba,contratos_despesas_gabinete,"Contratos e despesas de gabinete 2020-2026",,pendente,,,"Solicito os dados de contratos_despesas_gabinete relativos a contratos de Sorocaba/SP, com cobertura de 2020 a 2026, contendo no minimo identificador do registro, data ou competencia, valor, orgao/unidade responsavel, classificacao aplicavel, fonte original e eventuais documentos vinculados. Caso a informacao nao exista ou nao seja mantida por este orgao, solicito indicacao expressa do motivo e do orgao responsavel pela guarda do dado."
,,Urbes de Sorocaba,relacao_mensal_despesas,"Relacao mensal de despesas de transporte 2020-2026",,pendente,,,"Solicito os dados de relacao_mensal_despesas relativos a transporte de Sorocaba/SP, com cobertura de 2020 a 2026, contendo no minimo identificador do registro, data ou competencia, valor, orgao/unidade responsavel, classificacao aplicavel, fonte original e eventuais documentos vinculados. Caso a informacao nao exista ou nao seja mantida por este orgao, solicito indicacao expressa do motivo e do orgao responsavel pela guarda do dado."
,,Urbes de Sorocaba,remuneracao_transporte_publico,"Remuneracao do transporte publico 2020-2026",,pendente,,,"Solicito os dados de remuneracao_transporte_publico relativos a transporte de Sorocaba/SP, com cobertura de 2020 a 2026, contendo no minimo identificador do registro, data ou competencia, valor, orgao/unidade responsavel, classificacao aplicavel, fonte original e eventuais documentos vinculados. Caso a informacao nao exista ou nao seja mantida por este orgao, solicito indicacao expressa do motivo e do orgao responsavel pela guarda do dado."
,,Urbes de Sorocaba,contratos_concessao_transporte,"Contratos de concessao de transporte 2020-2026",,pendente,,,"Solicito os dados de contratos_concessao_transporte relativos a transporte de Sorocaba/SP, com cobertura de 2020 a 2026, contendo no minimo identificador do registro, data ou competencia, valor, orgao/unidade responsavel, classificacao aplicavel, fonte original e eventuais documentos vinculados. Caso a informacao nao exista ou nao seja mantida por este orgao, solicito indicacao expressa do motivo e do orgao responsavel pela guarda do dado."
,,SAAE de Sorocaba,receitas_despesas,"Receitas e despesas do SAAE 2020-2026",,pendente,,,"Solicito os dados de receitas_despesas relativos a saneamento de Sorocaba/SP, com cobertura de 2020 a 2026, contendo no minimo identificador do registro, data ou competencia, valor, orgao/unidade responsavel, classificacao aplicavel, fonte original e eventuais documentos vinculados. Caso a informacao nao exista ou nao seja mantida por este orgao, solicito indicacao expressa do motivo e do orgao responsavel pela guarda do dado."
