data_referencia,municipio,periodo_alvo,orgao,area,tipo_dado,prioridade,status_fonte_original,status_auditavel,url,periodicidade,anos_disponiveis_declarados,granularidade_alvo,formato,metodo_acesso,script_existente,comando_coleta_bruta,camada_destino,publicacao_autorizada,evidencia_local,bloqueio_atual,pedido_lai,agente_responsavel,proximo_passo,observacao
2026-05-31,Paulinia,2020-2026,Prefeitura,dados_abertos,catalogo,alta,lacuna,a_verificar,https://www.paulinia.sp.gov.br/portal/dados-abertos,continua,a_mapear,dataset,html,portal_html,a_criar,inventariar portal de dados abertos,data/manifests,nao,data/manifests/paulinia_seed_sources.csv,Aguarda script de inventario do portal,nao,dados,inventariar_datasets_e_formatos,Opus: inventariar na proxima sessao.
2026-05-31,Paulinia,2020-2026,TCE-SP,receita,receitas,critica,lacuna,a_verificar,https://transparencia.tce.sp.gov.br/municipio/paulinia/2025/receitas,mensal,2020-2026,mensal,html_api,portal_html_api,a_criar,MUNICIPIO=paulinia py baixar_tce_paulinia.py --receitas,data/extracted,nao,nenhuma,Aguarda baixar_tce_paulinia.py (adaptacao de baixar_tce_sorocaba.py),nao,pipeline,criar_extrator_tce_paulinia,Opus: adaptar baixar_tce_sorocaba.py (640 linhas mesma API TCE-SP slug diferente).
2026-05-31,Paulinia,2020-2026,TCE-SP,despesa,despesas,critica,lacuna,a_verificar,https://transparencia.tce.sp.gov.br/municipio/paulinia/2025/despesas,mensal,2020-2026,mensal,html_api,portal_html_api,a_criar,MUNICIPIO=paulinia py baixar_tce_paulinia.py --despesas,data/extracted,nao,nenhuma,Aguarda baixar_tce_paulinia.py,nao,pipeline,criar_extrator_tce_paulinia,Mesmo script que receitas TCE-SP; bloco separado para clareza.
2026-05-31,Paulinia,2020-2026,Camara,despesa,despesas_legislativo,alta,lacuna,a_verificar,https://www.camarapaulinia.sp.gov.br/despesas/,mensal,a_mapear,mensal,html_pdf,portal_html,a_criar,inventariar pagina de despesas da Camara,data/manifests,nao,data/manifests/paulinia_seed_sources.csv,Formato e exportacao ainda nao mapeados.,nao,dados,inventariar_formato_e_periodicidade,Opus: inventariar na proxima sessao.
2026-05-31,Paulinia,2020-2026,Camara,transparencia,portal_transparencia,alta,lacuna,a_verificar,https://transparencia-cmpaulinia.smarapd.com.br/#/,continua,a_mapear,dataset,html,portal_html,a_criar,mapear navegacao e exportacao SMARAPD,data/manifests,nao,data/manifests/paulinia_seed_sources.csv,Portal SMARAPD ainda nao mapeado tecnicamente.,nao,dados,mapear_portal_camara_smarapd,Opus: inventariar na proxima sessao.
2026-05-31,Paulinia,2020-2025,SICONFI,fiscal,rreo_rgf_dca,alta,publicado_federal,extraido,https://apidatalake.tesouro.gov.br/ords/siconfi/,bimestral_anual,2020-2025,bimestral e anual,csv,api_publica,extrator_receita.py|extrator_executivo.py|extrator_rcl.py|extrator_rpps.py|extrator_rgf_pessoal.py|extrator_rgf_divida.py|extrator_divida_detalhada.py|extrator_natureza_despesa.py|extrator_receita_capital.py|extrator_rreo.py|extrator_rreo_seguranca.py|extrator_rreo_transporte.py|extrator_dca_transporte.py,MUNICIPIO=paulinia py extrator_receita.py (e demais),data/extracted,nao,data/extracted/paulinia/ (89 CSVs em G: drive),nenhum,nao,pipeline,QA e promocao para data/validated,89 CSVs extraidos 2020-2025. Pessoal 59.5% RCL em 2020 (acima limite LRF 54%). Receita cresceu 110% (2020-2025). RPPS superavitario.
2026-05-31,Paulinia,2020-2025,FNS,saude,repasses_sus,alta,publicado_federal,extraido,https://portalfns.saude.gov.br/downloads/,anual,2020-2025,anual,csv,api_publica,baixar_fns_repasses.py,MUNICIPIO=paulinia py baixar_fns_repasses.py --ano 2020 ... --ano 2025,data/extracted,nao,data/extracted/paulinia/fns/repasses_faf_com_populacao/ (6 CSVs + inventario),nenhum,nao,pipeline,QA e promocao para data/validated,Fundo Municipal de Saude de Paulinia. R$18M em 2024. 14-22 blocos por ano (custeio/investimento/vigilancia etc).
2026-05-31,Paulinia,2021-2025,Portal_Transparencia_Federal,fiscal,transferencias_federais,alta,publicado_federal,extraido,https://api.portaldatransparencia.gov.br/api-de-dados,anual,2021-2025,anual,csv,api_publica,baixar_transferencias_federais.py,MUNICIPIO=paulinia py baixar_transferencias_federais.py --ano 2020 ... --ano 2025,data/extracted,nao,data/extracted/paulinia/transferencias_federais/saida/ (5 CSVs 2021-2025),2020 ausente (API retornou vazio),nao,pipeline,verificar 2020 na API e QA,2020 nao retornou dados; pode ser gap da API ou municipio sem convenios naquele ano.
2026-05-31,Paulinia,2022-2022,PNCP,compras,contratos_transporte,alta,lacuna,parcial,https://pncp.gov.br/api/consulta/v1/contratos,continua,a_mapear,evento/documento,api,api_publica,extrator_pncp_transporte.py,MUNICIPIO=paulinia py extrator_pncp_transporte.py,data/extracted,nao,data/extracted/paulinia/transporte/saida/contratos_transporte_paulinia_2022.csv,API /api/consulta/v1/ retorna 403 para 2020 2021 2023+; workaround Playwright pendente,nao,pipeline,usar baixar_pncp_playwright.py com CNPJs de Paulinia,CNPJs necessarios: cnpj_prefeitura ainda None em paths.py. Opus descobrindo.
2026-05-31,Paulinia,2020-2026,Sefaz-SP,fiscal,transferencias_estaduais,alta,lacuna,bloqueado_configuracao,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,mensal,2020-2026,mensal,html,portal_html,baixar_transferencias_estaduais_sp.py,MUNICIPIO=paulinia py baixar_transferencias_estaduais_sp.py,data/extracted,nao,nenhuma,sefaz_sp=None em paths.py; Opus descobrindo codigo Sefaz-SP de Paulinia,nao,pipeline,preencher sefaz_sp em paths.py e rodar,Script adaptado e pronto; so precisa do codigo municipal Sefaz-SP.
