municipio,Area,Tipo,Descricao,Anos,Fonte,Sistema,Frequencia,Arquivo_Padrao,Origem_Dir
sorocaba,saude,despesas,Despesas por funcao - saude,2020-2025,Portal de Transparencia Sorocaba,PDF municipal,quadrimestral,despesas_saude_sorocaba_{ano}.csv,public
sorocaba,saude,receitas,Receitas base ASPS - saude,2020-2025,Portal de Transparencia Sorocaba,PDF municipal,quadrimestral,receitas_base_saude_sorocaba_{ano}.csv,public
sorocaba,educacao,despesas,Despesas por funcao - educacao,2020-2025,Portal de Transparencia Sorocaba,PDF municipal,quadrimestral,despesas_educacao_sorocaba_{ano}.csv,public
sorocaba,educacao,receitas,Receitas base FUNDEB - educacao,2020-2025,Portal de Transparencia Sorocaba,PDF municipal,quadrimestral,receitas_base_educacao_sorocaba_{ano}.csv,public
sorocaba,seguranca,despesas,Despesas por subfuncao - DCA Anexo I-E,2020-2025,SICONFI / Tesouro Nacional,API federal,anual,despesas_seguranca_sorocaba_{ano}.csv,public
sorocaba,seguranca,orcamento,Orcamento RREO Anexo 02 bimestre 6 EXCETO INTRA,2020-2025,SICONFI / Tesouro Nacional,API federal,anual,rreo_seguranca_sorocaba_{ano}.csv,public
sorocaba,transporte,orcamento-rreo,Orcamento RREO Anexo 02 bimestre 6 funcao 26 EXCETO INTRA - subfuncao unica sem discriminacao de servico vs obras,2020-2025,SICONFI / Tesouro Nacional,API federal,anual,rreo_transporte_sorocaba_{ano}.csv,public
sorocaba,transporte,orcamento-dca,Despesas DCA Anexo I-E funcao 26 empenhado+liquidado+pago - subfuncao unica sem discriminacao,2020-2025,SICONFI / Tesouro Nacional,API federal,anual,dca_transporte_sorocaba_{ano}.csv,public
sorocaba,transporte,contratos-pncp,Contratos publicos transporte PNCP filtrado por palavras-chave - requer curadoria manual - cobertura parcial a partir de 2022,2022-2025,PNCP / Compras.gov,API federal,anual,contratos_transporte_sorocaba_{ano}.csv,validated
sorocaba,executivo,despesas,Orcamento municipal por funcao - RREO Anexo 02 bimestre 6 incluindo exceto intra e intra,2020-2025,SICONFI / Tesouro Nacional,API federal,anual,despesas_executivo_sorocaba_{ano}.csv,public
sorocaba,receita,receitas,Receitas municipais por categoria - RREO Anexo 01 bimestre 6,2020-2025,SICONFI / Tesouro Nacional,API federal,anual,receitas_sorocaba_{ano}.csv,public
sorocaba,fiscal,pessoal,Despesa com pessoal e RCL ajustada - RGF Anexo 01 terceiro quadrimestre,2020-2025,SICONFI / Tesouro Nacional,API federal,anual,pessoal_sorocaba_{ano}.csv,public
