orgao,area,tipo_dado,url,periodicidade,anos_disponiveis,formato,status,prioridade,proximo_passo,observacao
Prefeitura,orcamento,ppa,https://fazenda.sorocaba.sp.gov.br/transparencia/,anual,a_mapear,pdf,lacuna,alta,inventariar_links_por_ano,"plano plurianual; base de planejamento de medio prazo"
Prefeitura,orcamento,ldo,https://fazenda.sorocaba.sp.gov.br/transparencia/,anual,a_mapear,pdf,lacuna,alta,inventariar_links_por_ano,"lei de diretrizes orcamentarias; conecta metas e LOA"
Prefeitura,orcamento,loa,https://fazenda.sorocaba.sp.gov.br/transparencia/,anual,2020-2025,pdf,parcial,alta,extrair_programas_acoes_e_valores,"base legal do orcamento aprovado"
Prefeitura,orcamento,audiencias_publicas,https://fazenda.sorocaba.sp.gov.br/audienciapublica/,anual,a_mapear,pdf_html,lacuna,media,inventariar_anexos,"contexto publico do ciclo orcamentario"
Prefeitura,receita,registro_analitico_receita_orcamentaria,https://fazenda.sorocaba.sp.gov.br/transparencia/,anual,2020-2024,pdf,lacuna,alta,baixar_e_extrair,"detalha receita por classificacao contabil"
Prefeitura,receita,registro_analitico_receita_extraorcamentaria,https://fazenda.sorocaba.sp.gov.br/transparencia/,anual,2020-2024,pdf,lacuna,media,baixar_e_extrair,"receitas extraorcamentarias fora do RREO agregado"
Prefeitura,receita,balancetes_receita,https://fazenda.sorocaba.sp.gov.br/transparencia/,mensal,a_mapear,pdf,lacuna,alta,inventariar_links_por_mes,"necessario para acompanhamento mensal"
Prefeitura,despesa,registro_de_empenhos,https://fazenda.sorocaba.sp.gov.br/transparencia/,anual,2020-2024,pdf,lacuna,alta,baixar_e_extrair,"camada inicial da execucao por empenho"
Prefeitura,despesa,registro_analitico_despesa_orcamentaria,https://fazenda.sorocaba.sp.gov.br/transparencia/,anual,2020-2024,pdf,parcial,critica,baixar_2021_2023_e_normalizar,"base para dotacao empenho liquidacao e pagamento por classificacao"
Prefeitura,despesa,registro_analitico_despesa_extraorcamentaria,https://fazenda.sorocaba.sp.gov.br/transparencia/,anual,2020-2024,pdf,lacuna,media,baixar_e_extrair,"movimentos fora da despesa orcamentaria"
Prefeitura,fornecedores,conta_corrente_fornecedor,https://fazenda.sorocaba.sp.gov.br/transparencia/,anual,2020-2024,pdf,parcial,critica,baixar_2021_2023_e_publicar_apos_validacao,"responde quem recebeu dinheiro publico"
Prefeitura,fornecedores,conta_corrente_restos_a_pagar_por_fornecedor,https://fazenda.sorocaba.sp.gov.br/transparencia/,anual,2020-2024,pdf,lacuna,critica,baixar_e_extrair,"mostra pagamentos de obrigacoes de anos anteriores"
Prefeitura,bancario,conta_corrente_bancario,https://fazenda.sorocaba.sp.gov.br/transparencia/,anual,2020-2024,pdf,lacuna,media,avaliar_campos_publicaveis,"usar para conciliacao agregada; cuidado com granularidade sensivel"
Prefeitura,contabilidade,livro_caixa,https://fazenda.sorocaba.sp.gov.br/transparencia/,anual,2020-2024,pdf,lacuna,media,baixar_para_validacao_cruzada,"validacao de movimentos financeiros"
