"dominio","documento","formato_id","anos_conhecidos","sinais_deteccao","extrator","args_base","saida_esperada","validacao","status","observacao"
"execucao","conta_corrente_fornecedor","v2021_texto_linhas","2020|2021|2024|2025","FORNECEDOR_RE casa linhas de texto nos primeiros blocos do PDF","pipelines/extrator_conta_corrente_fornecedor.py","--ano {ano}","data/extracted/sorocaba/execucao/saida/conta_corrente_fornecedor_sorocaba_{ano}.csv","agregar_fornecedores_execucao.py + verificar_publicacao apos publicacao explicita","ativo","Detector implementado em detectar_formato."
"execucao","conta_corrente_fornecedor","v2022_palavras_colunas","2022|2023","Sem FORNECEDOR_RE; usa palavras posicionadas em colunas","pipelines/extrator_conta_corrente_fornecedor.py","--ano {ano}","data/extracted/sorocaba/execucao/saida/conta_corrente_fornecedor_sorocaba_{ano}.csv","agregar_fornecedores_execucao.py + verificar_publicacao apos publicacao explicita","ativo","Reconstrucao por coordenadas x/y."
"execucao","despesa_orcamentaria","v_texto_linhas","2020|2024|2025","MOV_RE casa linhas com data documento empenho fornecedor e valores","pipelines/extrator_despesa_orcamentaria.py","--ano {ano}","data/extracted/sorocaba/execucao/saida/despesa_orcamentaria_sorocaba_{ano}.csv","validar_extracao_despesa_vertical.py quando aplicavel + cruzamento fornecedor","ativo","Parser simples por texto."
"execucao","despesa_orcamentaria","v2021_vertical","2021","Texto verticalizado; datas e valores exigem zonas PyMuPDF v2021","pipelines/extrator_despesa_orcamentaria_vertical.py","--ano {ano} --formato v2021","data/extracted/sorocaba/execucao/saida_fatiada/{ano}/despesa_orcamentaria_vertical_sorocaba_{ano}_p*.csv","pipelines/validar_extracao_despesa_vertical.py","ativo","Usar para PDF colunado grande; nao publica sem saneamento."
"execucao","despesa_orcamentaria","v2022_vertical","2022|2023","Texto verticalizado; datas e valores exigem zonas PyMuPDF v2022","pipelines/extrator_despesa_orcamentaria_vertical.py","--ano {ano} --formato v2022","data/extracted/sorocaba/execucao/saida_fatiada/{ano}/despesa_orcamentaria_vertical_sorocaba_{ano}_p*.csv","pipelines/validar_extracao_despesa_vertical.py","parcial","Formato mapeado no codigo; cobertura final deve ser confirmada por ano."
"execucao","despesa_orcamentaria","fatiado_por_paginas","pdfs_grandes","PDF grande com milhares de paginas; processamento por lote e checkpoint","pipelines/extrair_despesa_orcamentaria_fatiada.py","--ano {ano} --lote-paginas {n} --max-lotes {n}","data/extracted/sorocaba/execucao/saida_fatiada/{ano}/checkpoint_despesa_orcamentaria.json","conferir checkpoint + validar cobertura","ativo","Economiza reprocessamento."
"execucao","empenho","v2021_colunas_verticais","2021","Transacoes em colunas verticais; datas por zona y","pipelines/extrator_empenho.py","--ano {ano} --formato v2021","data/extracted/sorocaba/execucao/saida/empenho_sorocaba_{ano}.csv","verificar_rastro_execucao.py quando aplicavel","ativo","Formato declarado no extrator."
"execucao","empenho","v2022_colunas_verticais","2022|2023","Landscape rotacionado; zonas v2022","pipelines/extrator_empenho.py","--ano {ano} --formato v2022","data/extracted/sorocaba/execucao/saida/empenho_sorocaba_{ano}.csv","verificar_rastro_execucao.py quando aplicavel","ativo","Formato declarado no extrator."
"execucao","empenho","v2024_linhas_horizontais","2024|2025","Portrait com transacoes em linhas horizontais","pipelines/extrator_empenho.py","--ano {ano} --formato v2024","data/extracted/sorocaba/execucao/saida/empenho_sorocaba_{ano}.csv","verificar_rastro_execucao.py quando aplicavel","ativo","Formato declarado no extrator."
"execucao","restos_a_pagar","v2021_texto_linhas","2025","Texto em linhas com fornecedor e ano de restos","pipelines/extrator_restos_a_pagar.py","--ano {ano}","data/extracted/sorocaba/execucao/saida/conta_corrente_restos_sorocaba_{ano}.csv","pipelines/agregar_restos_a_pagar.py","ativo","Agregador suporta v2021."
"execucao","restos_a_pagar","v2022_rotacionado","2021|2022|2023|2024","Layout landscape rotacionado em portrait","pipelines/extrator_restos_a_pagar.py","--ano {ano}","data/extracted/sorocaba/execucao/saida/conta_corrente_restos_sorocaba_{ano}.csv","pipelines/agregar_restos_a_pagar.py","parcial","Extrator suporta; agregador registra cautela para v2022."
"saude","aplicacao_saude","pdf_texto_normal","2020|2021|2022|2023|2024|2025","Tabela com DOTACAO EMPENHADA LIQUIDADA PAGA no texto","pipelines/extrator_saude.py","--ano {ano}","data/extracted/sorocaba/saude/saida/despesas_saude_sorocaba_{ano}.csv","pipelines/testes/verificar_dados.py","ativo","Possui fallback por palavras."
"saude","aplicacao_saude","pdf_texto_invertido_rtl","anos_com_marcador","Marcadores abacoroS ou SOIRPORP","pipelines/extrator_saude.py","--ano {ano}","data/extracted/sorocaba/saude/saida/despesas_saude_sorocaba_{ano}.csv","pipelines/testes/verificar_dados.py","ativo","Detecta texto espelhado."
"educacao","aplicacao_ensino","pdf_texto_normal","2020|2021|2022|2023|2024|2025","Receitas e despesas na pagina 1 em texto normal","pipelines/extrator_educacao.py","--ano {ano}","data/extracted/sorocaba/educacao/saida/despesas_educacao_sorocaba_{ano}.csv","pipelines/testes/verificar_dados_educacao.py","ativo","Tambem gera receitas_base_educacao."
"educacao","aplicacao_ensino","pdf_vertical_ou_rtl","anos_com_fallback","Valores e rotulos em linhas proprias ou texto invertido","pipelines/extrator_educacao.py","--ano {ano}","data/extracted/sorocaba/educacao/saida/receitas_base_educacao_sorocaba_{ano}.csv","pipelines/testes/verificar_dados_educacao.py","ativo","Fallback implementado em receitas/despesas vertical."
"federal","fns_repasses_faf","csv_delimitado","2020+","Arquivo baixado com extensao csv; delimitador detectado por csv.Sniffer","pipelines/baixar_fns_repasses.py","--ano {ano}","data/extracted/sorocaba/fns/repasses_faf_com_populacao/fns_repasses_faf_com_populacao_sorocaba_{ano}.csv","filtro IBGE 3552205 ou municipio/UF","ativo","Le CSV em utf-8-sig ou latin-1."
"federal","fns_repasses_faf","xlsx_xml_interno","2020+","Arquivo baixado com extensao xlsx","pipelines/baixar_fns_repasses.py","--ano {ano}","data/extracted/sorocaba/fns/repasses_faf_com_populacao/fns_repasses_faf_com_populacao_sorocaba_{ano}.csv","filtro IBGE 3552205 ou municipio/UF","ativo","Le XLSX via zip/xml sem dependencia externa."
"controle","tce_sp","html_json_csv_pdf","2020+","Fonte inventariada por formato html json csv pdf","pipelines/baixar_tce_sorocaba.py","conforme dataset","data/extracted/sorocaba/tce/*","inventario + resumo de coleta","ativo","Inventario de fontes e amostras."
"compras","pncp","api_json","2020+","API PNCP retorna JSON paginado ou erro transitorio","pipelines/baixar_pncp_sorocaba.py","conforme dataset","data/extracted/sorocaba/pncp/*","resumo de coleta + validacao posterior","parcial","Nao congelar erro transitorio como dado final."
"autarquias","saae_dados_abertos","portal_html_tabelas","2020+","Portal exige navegacao; tabelas HTML ou arquivos anexos","pipelines/baixar_saae_dados_abertos.py","conforme categoria","data/extracted/sorocaba/saae/*","inventario_tdaportal_saae.csv","parcial","Pode exigir Playwright."
"camara","despesas_gabinete","pdf_mensal_texto","2020+","PDF mensal texto-nativo da Camara","pipelines/extrair_despesas_gabinete_camara.py","--ano {ano}","data/extracted/sorocaba/camara/despesas_gabinete/*","conferencia por total mensal","parcial","Formato descrito em pipelines/NOTAS_COLETA.md."
