data_referencia,municipio,periodo_alvo,orgao,area,tipo_dado,prioridade,status_fonte_original,status_auditavel,url,periodicidade,anos_disponiveis_declarados,granularidade_alvo,formato,metodo_acesso,script_existente,comando_coleta_bruta,camada_destino,publicacao_autorizada,evidencia_local,bloqueio_atual,pedido_lai,agente_responsavel,proximo_passo,observacao
2026-05-21,Sorocaba,2020-2026,Prefeitura,orcamento,ppa,alta,lacuna,lai_necessario,https://fazenda.sorocaba.sp.gov.br/transparencia/,anual,a_mapear,anual,pdf,portal_pdf_html,a_criar,inventariar links de PPA por ano e criar coletor dedicado,raw externo via ANATOMIA_RAW_ROOT; saidas mecanicas em data/extracted quando houver extrator,nao,inventario_fontes_sorocaba.csv; fonte oficial ainda pendente de coleta ou prova de indisponibilidade,Inventario de links por ano ainda precisa ser confirmado no portal; coletor dedicado nao existe.,sim,dados,inventariar_links_por_ano,plano plurianual; base de planejamento de medio prazo
2026-05-21,Sorocaba,2020-2026,Prefeitura,orcamento,ldo,alta,lacuna,lai_necessario,https://fazenda.sorocaba.sp.gov.br/transparencia/,anual,a_mapear,anual,pdf,portal_pdf_html,a_criar,inventariar links de LDO por ano e criar coletor dedicado,raw externo via ANATOMIA_RAW_ROOT; saidas mecanicas em data/extracted quando houver extrator,nao,inventario_fontes_sorocaba.csv; fonte oficial ainda pendente de coleta ou prova de indisponibilidade,Inventario de links por ano ainda precisa ser confirmado no portal; coletor dedicado nao existe.,sim,dados,inventariar_links_por_ano,lei de diretrizes orcamentarias; conecta metas e LOA
2026-05-21,Sorocaba,2020-2026,Prefeitura,orcamento,loa,alta,parcial,parcial,https://fazenda.sorocaba.sp.gov.br/transparencia/,anual,2020-2025,anual,pdf,portal_pdf_html,a_criar,"inventariar links de LOA por ano e criar extrator de programas, acoes e valores",raw externo via ANATOMIA_RAW_ROOT; saidas mecanicas em data/extracted quando houver extrator,nao,inventario oficial e roadmap Sorocaba 100,"Extracao de programas, acoes e valores ainda nao esta fechada; coletor dedicado nao existe.",sim,dados,extrair_programas_acoes_e_valores,base legal do orcamento aprovado
2026-05-21,Sorocaba,2020-2026,Prefeitura,orcamento,audiencias_publicas,media,lacuna,parcial,https://fazenda.sorocaba.sp.gov.br/audienciapublica/,anual,a_mapear,anual,pdf_html,portal_pdf_html,pipelines/gerar_audiencia_loa.py,python pipelines/gerar_audiencia_loa.py,raw externo via ANATOMIA_RAW_ROOT; saidas mecanicas em data/extracted quando houver extrator,nao,inventario_fontes_sorocaba.csv; fonte oficial ainda pendente de coleta ou prova de indisponibilidade,2020-2021 podem estar indisponiveis na fonte oficial.,nao,pipeline,inventariar_anexos,contexto publico do ciclo orcamentario
2026-05-21,Sorocaba,2020-2026,Prefeitura,receita,registro_analitico_receita_orcamentaria,alta,lacuna,lai_necessario,https://fazenda.sorocaba.sp.gov.br/transparencia/,anual,2020-2024,anual,pdf,portal_pdf,a_criar,"inventariar, baixar e criar extrator do registro analitico de receita orcamentaria",raw externo via ANATOMIA_RAW_ROOT; saidas mecanicas em data/extracted quando houver extrator,nao,inventario_fontes_sorocaba.csv; fonte oficial ainda pendente de coleta ou prova de indisponibilidade,O extrator_receita.py cobre RREO agregado; registro analitico municipal ainda nao tem extrator dedicado.,sim,dados,baixar_e_extrair,detalha receita por classificacao contabil
2026-05-21,Sorocaba,2020-2026,Prefeitura,receita,registro_analitico_receita_extraorcamentaria,media,lacuna,lai_necessario,https://fazenda.sorocaba.sp.gov.br/transparencia/,anual,2020-2024,anual,pdf,portal_pdf,a_criar,"inventariar, baixar e criar extrator de receita extraorcamentaria",raw externo via ANATOMIA_RAW_ROOT; saidas mecanicas em data/extracted quando houver extrator,nao,inventario_fontes_sorocaba.csv; fonte oficial ainda pendente de coleta ou prova de indisponibilidade,Sem extrator dedicado no repo.,sim,dados,baixar_e_extrair,receitas extraorcamentarias fora do RREO agregado
2026-05-21,Sorocaba,2020-2026,Prefeitura,receita,balancetes_receita,alta,lacuna,lai_necessario,https://fazenda.sorocaba.sp.gov.br/transparencia/,mensal,a_mapear,mensal e anual,pdf,portal_pdf,a_criar,inventariar links mensais e criar extrator de balancetes de receita,raw externo via ANATOMIA_RAW_ROOT; saidas mecanicas em data/extracted quando houver extrator,nao,inventario_fontes_sorocaba.csv; fonte oficial ainda pendente de coleta ou prova de indisponibilidade,Fonte mensal ainda nao mapeada por link.,sim,dados,inventariar_links_por_mes,necessario para acompanhamento mensal
2026-05-21,Sorocaba,2020-2026,Prefeitura,despesa,registro_de_empenhos,alta,lacuna,parcial,https://fazenda.sorocaba.sp.gov.br/transparencia/,anual,2020-2024,anual,pdf,portal_pdf,pipelines/extrator_empenho.py,foreach ($ano in 2020..2026) { python pipelines/extrator_empenho.py --ano $ano },raw externo via ANATOMIA_RAW_ROOT; saidas mecanicas em data/extracted quando houver extrator,nao,inventario_fontes_sorocaba.csv; fonte oficial ainda pendente de coleta ou prova de indisponibilidade,2026 depende de disponibilidade oficial.,nao,pipeline,baixar_e_extrair,camada inicial da execucao por empenho
2026-05-21,Sorocaba,2020-2026,Prefeitura,despesa,registro_analitico_despesa_orcamentaria,critica,parcial,parcial,https://fazenda.sorocaba.sp.gov.br/transparencia/,anual,2020-2024,anual,pdf,portal_pdf,pipelines/extrator_despesa_orcamentaria.py,foreach ($ano in 2020..2026) { python pipelines/extrator_despesa_orcamentaria.py --ano $ano },raw externo via ANATOMIA_RAW_ROOT; saidas mecanicas em data/extracted quando houver extrator,nao,inventario oficial e roadmap Sorocaba 100,Dados publicados ate 2025; 2026 depende de fonte anual.,sim_preparado,pipeline,baixar_2021_2023_e_normalizar,base para dotacao empenho liquidacao e pagamento por classificacao
2026-05-21,Sorocaba,2020-2026,Prefeitura,despesa,registro_analitico_despesa_extraorcamentaria,media,lacuna,lai_necessario,https://fazenda.sorocaba.sp.gov.br/transparencia/,anual,2020-2024,anual,pdf,portal_pdf,a_criar,"inventariar, baixar e criar extrator de despesa extraorcamentaria",raw externo via ANATOMIA_RAW_ROOT; saidas mecanicas em data/extracted quando houver extrator,nao,inventario_fontes_sorocaba.csv; fonte oficial ainda pendente de coleta ou prova de indisponibilidade,Sem extrator dedicado no repo.,sim,dados,baixar_e_extrair,movimentos fora da despesa orcamentaria
