municipio,orgao,ano_base,lote,empresa_operadora,tarifa_tecnica_quilometrica_rs,componente,valor_por_km_rs,percentual,tipo_custo,fonte,arquivo_origem
sorocaba,Urbes,2023,LOTE01,CONSOR,13.892,Mão de Obra e Benefícios,7.92,57,Custo Fixo,https://www.urbes.com.br/transparencia/remuneracao-transporte-publico,remuneracao_transporte_publico_2023_planilha_transporte_publico.pdf
sorocaba,Urbes,2023,LOTE01,CONSOR,13.892,Capital Imobilizado em Veículos,2.78,20,Custo Fixo,https://www.urbes.com.br/transparencia/remuneracao-transporte-publico,remuneracao_transporte_publico_2023_planilha_transporte_publico.pdf
sorocaba,Urbes,2023,LOTE01,CONSOR,13.892,Custos Administrativos Operacionais e Peças,0.28,2,Custo Fixo,https://www.urbes.com.br/transparencia/remuneracao-transporte-publico,remuneracao_transporte_publico_2023_planilha_transporte_publico.pdf
sorocaba,Urbes,2023,LOTE01,CONSOR,13.892,Combustíveis Lubrificantes e Arla32,2.64,19,Custo Variável,https://www.urbes.com.br/transparencia/remuneracao-transporte-publico,remuneracao_transporte_publico_2023_planilha_transporte_publico.pdf
sorocaba,Urbes,2023,LOTE01,CONSOR,13.892,Material de Rodagem,0.28,2,Custo Variável,https://www.urbes.com.br/transparencia/remuneracao-transporte-publico,remuneracao_transporte_publico_2023_planilha_transporte_publico.pdf
sorocaba,Urbes,2023,LOTE02,CITY,14.077,Mão de Obra e Benefícios,8.11,57.59,Custo Fixo,https://www.urbes.com.br/transparencia/remuneracao-transporte-publico,remuneracao_transporte_publico_2023_planilha_transporte_publico.pdf
sorocaba,Urbes,2023,LOTE02,CITY,14.077,Capital Imobilizado em Veículos,1.37,9.71,Custo Fixo,https://www.urbes.com.br/transparencia/remuneracao-transporte-publico,remuneracao_transporte_publico_2023_planilha_transporte_publico.pdf
sorocaba,Urbes,2023,LOTE02,CITY,14.077,Custos Administrativos Operacionais e Peças,1.11,7.86,Custo Fixo,https://www.urbes.com.br/transparencia/remuneracao-transporte-publico,remuneracao_transporte_publico_2023_planilha_transporte_publico.pdf
sorocaba,Urbes,2023,LOTE02,CITY,14.077,Combustíveis Lubrificantes e Arla32,3.32,23.57,Custo Variável,https://www.urbes.com.br/transparencia/remuneracao-transporte-publico,remuneracao_transporte_publico_2023_planilha_transporte_publico.pdf
sorocaba,Urbes,2023,LOTE02,CITY,14.077,Material de Rodagem,0.18,1.27,Custo Variável,https://www.urbes.com.br/transparencia/remuneracao-transporte-publico,remuneracao_transporte_publico_2023_planilha_transporte_publico.pdf
sorocaba,Urbes,2023,LOTE03,BRT,22.22,Mão de Obra e Benefícios,4.44,20,Custo Fixo,https://www.urbes.com.br/transparencia/remuneracao-transporte-publico,remuneracao_transporte_publico_2023_planilha_transporte_publico.pdf
sorocaba,Urbes,2023,LOTE03,BRT,22.22,Custos Administrativos Operacionais e Infraestrutura,6.67,30,Custo Fixo,https://www.urbes.com.br/transparencia/remuneracao-transporte-publico,remuneracao_transporte_publico_2023_planilha_transporte_publico.pdf
sorocaba,Urbes,2023,LOTE03,BRT,22.22,Combustíveis Lubrificantes Material de Rodagem e Arla32,11.11,50,Custo Variável,https://www.urbes.com.br/transparencia/remuneracao-transporte-publico,remuneracao_transporte_publico_2023_planilha_transporte_publico.pdf
