ano,regiao,area,percentual,n_formularios_regiao,n_formularios_total,n_propostas_total,qualidade_dado,fonte_arquivo
2024,Total,Esporte,24.88,,163,414,exato,relatorio_loa_2024.pdf
2024,Total,Zeladoria dos Espacos Publicos,19.32,,163,414,exato,relatorio_loa_2024.pdf
2024,Total,"Transito, Transporte, Sistema Viario e Politica Urbana",16.0,,163,414,exato,relatorio_loa_2024.pdf
2024,Total,Saude,14.49,,163,414,exato,relatorio_loa_2024.pdf
2024,Total,Seguranca Urbana,4.11,,163,414,exato,relatorio_loa_2024.pdf
2024,Total,Assistencia Social e Defesa de Direitos,2.17,,163,414,exato,relatorio_loa_2024.pdf
2024,Total,Educacao,1.69,,163,414,exato,relatorio_loa_2024.pdf
2024,Total,Cultura,1.21,,163,414,exato,relatorio_loa_2024.pdf
2024,Total,"Gestao, Controle e Transparencia Publica",0.97,,163,414,exato,relatorio_loa_2024.pdf
2024,Total,Trabalho e Renda,0.72,,163,414,exato,relatorio_loa_2024.pdf
2024,Centro,Esporte,28.57,,163,414,exato,relatorio_loa_2024.pdf
2024,Centro,Zeladoria dos Espacos Publicos,19.05,,163,414,exato,relatorio_loa_2024.pdf
2024,Centro,Saude,14.29,,163,414,exato,relatorio_loa_2024.pdf
2024,Centro,"Transito, Transporte, Sistema Viario e Politica Urbana",14.29,,163,414,exato,relatorio_loa_2024.pdf
2024,Centro,Cultura,11.9,,163,414,exato,relatorio_loa_2024.pdf
2024,Centro,Modernizacao e Inovacao Tecnologica,4.76,,163,414,exato,relatorio_loa_2024.pdf
2024,Centro,Seguranca Urbana,4.76,,163,414,exato,relatorio_loa_2024.pdf
2024,Centro,Assistencia Social e Defesa de Direitos,2.38,,163,414,exato,relatorio_loa_2024.pdf
2024,Leste,Zeladoria dos Espacos Publicos,24.44,,163,414,exato,relatorio_loa_2024.pdf
2024,Leste,"Transito, Transporte, Sistema Viario e Politica Urbana",17.78,,163,414,exato,relatorio_loa_2024.pdf
2024,Leste,Esporte,16.67,,163,414,est,relatorio_loa_2024.pdf
2024,Leste,Saude,14.44,,163,414,est,relatorio_loa_2024.pdf
2024,Leste,Educacao,14.44,,163,414,exato,relatorio_loa_2024.pdf
2024,Leste,Seguranca Urbana,4.44,,163,414,est,relatorio_loa_2024.pdf
2024,Leste,Modernizacao e Inovacao Tecnologica,2.22,,163,414,exato,relatorio_loa_2024.pdf
2024,Leste,Assistencia Social e Defesa de Direitos,1.11,,163,414,exato,relatorio_loa_2024.pdf
2024,Leste,"Gestao, Controle e Transparencia Publica",1.11,,163,414,exato,relatorio_loa_2024.pdf
2024,Leste,Trabalho e Renda,1.11,,163,414,exato,relatorio_loa_2024.pdf
2024,Norte,Esporte,25.63,,163,414,exato,relatorio_loa_2024.pdf
2024,Norte,Zeladoria dos Espacos Publicos,20.0,,163,414,est,relatorio_loa_2024.pdf
2024,Norte,"Transito, Transporte, Sistema Viario e Politica Urbana",18.75,,163,414,est,relatorio_loa_2024.pdf
2024,Norte,Saude,16.75,,163,414,est,relatorio_loa_2024.pdf
2024,Norte,Seguranca Urbana,6.75,,163,414,est,relatorio_loa_2024.pdf
2024,Norte,Modernizacao e Inovacao Tecnologica,4.44,,163,414,est,relatorio_loa_2024.pdf
2024,Norte,Assistencia Social e Defesa de Direitos,2.5,,163,414,est,relatorio_loa_2024.pdf
2024,Norte,Meio Ambiente,0.62,,163,414,est,relatorio_loa_2024.pdf
2024,Norte,Educacao,1.25,,163,414,est,relatorio_loa_2024.pdf
2024,Oeste,Esporte,25.28,,163,414,exato,relatorio_loa_2024.pdf
2024,Oeste,Zeladoria dos Espacos Publicos,28.32,,163,414,est,relatorio_loa_2024.pdf
2024,Oeste,"Transito, Transporte, Sistema Viario e Politica Urbana",14.74,,163,414,exato,relatorio_loa_2024.pdf
2024,Oeste,Saude,11.59,,163,414,est,relatorio_loa_2024.pdf
2024,Oeste,Seguranca Urbana,6.32,,163,414,est,relatorio_loa_2024.pdf
2024,Oeste,Educacao,4.21,,163,414,est,relatorio_loa_2024.pdf
2024,Oeste,Assistencia Social e Defesa de Direitos,3.16,,163,414,est,relatorio_loa_2024.pdf
2024,Oeste,Modernizacao e Inovacao Tecnologica,2.16,,163,414,est,relatorio_loa_2024.pdf
2024,Oeste,Cultura,1.05,,163,414,est,relatorio_loa_2024.pdf
2024,Oeste,Trabalho e Renda,1.08,,163,414,est,relatorio_loa_2024.pdf
2024,Sul,Saude,37.38,,163,414,exato,relatorio_loa_2024.pdf
2024,Sul,Seguranca Urbana,14.69,,163,414,exato,relatorio_loa_2024.pdf
2024,Sul,Mobilidade Urbana,14.69,,163,414,exato,relatorio_loa_2024.pdf
2024,Sul,"Transito, Transporte, Sistema Viario e Politica Urbana",7.42,,163,414,exato,relatorio_loa_2024.pdf
2024,Sul,Modernizacao e Inovacao Tecnologica,5.75,,163,414,exato,relatorio_loa_2024.pdf
2024,Sul,Zeladoria dos Espacos Publicos,5.73,,163,414,exato,relatorio_loa_2024.pdf
2024,Sul,Meio Ambiente,4.09,,163,414,exato,relatorio_loa_2024.pdf
2024,Sul,"Gestao, Controle e Transparencia Publica",4.09,,163,414,exato,relatorio_loa_2024.pdf
