ano,regiao,area,percentual,n_formularios_regiao,n_formularios_total,n_propostas_total,qualidade_dado,fonte_arquivo
2023,Total,Educacao,33.0,,200,200,exato,relatorio_loa_2023.pdf
2023,Total,"Transito, Transporte, Sistema Viario e Politica Urbana",18.0,,200,200,exato,relatorio_loa_2023.pdf
2023,Total,Saude,12.0,,200,200,exato,relatorio_loa_2023.pdf
2023,Total,Meio Ambiente,12.0,,200,200,exato,relatorio_loa_2023.pdf
2023,Total,Seguranca Urbana,6.0,,200,200,exato,relatorio_loa_2023.pdf
2023,Total,Cultura,5.0,,200,200,exato,relatorio_loa_2023.pdf
2023,Total,Zeladoria dos Espacos Publicos,5.0,,200,200,exato,relatorio_loa_2023.pdf
2023,Total,Esporte,4.0,,200,200,exato,relatorio_loa_2023.pdf
2023,Total,"Sistema de Abastecimento de Agua, Esgoto e Drenagem",2.0,,200,200,exato,relatorio_loa_2023.pdf
2023,Total,Modernizacao e Inovacao Tecnologica,2.0,,200,200,exato,relatorio_loa_2023.pdf
2023,Total,Assistencia Social e Defesa de Direitos,1.0,,200,200,exato,relatorio_loa_2023.pdf
2023,Total,Producao Habitacional e Regularizacao Fundiaria,1.0,,200,200,exato,relatorio_loa_2023.pdf
2023,Total,"Gestao, Controle e Transparencia Publica",1.0,,200,200,exato,relatorio_loa_2023.pdf
2023,Total,Trabalho e Renda,1.0,,200,200,exato,relatorio_loa_2023.pdf
2023,Centro,Educacao,31.0,16,200,200,exato,relatorio_loa_2023.pdf
2023,Centro,Saude,25.0,16,200,200,exato,relatorio_loa_2023.pdf
2023,Centro,Cultura,13.0,16,200,200,exato,relatorio_loa_2023.pdf
2023,Centro,Meio Ambiente,13.0,16,200,200,exato,relatorio_loa_2023.pdf
2023,Centro,Producao Habitacional e Regularizacao Fundiaria,6.0,16,200,200,exato,relatorio_loa_2023.pdf
2023,Centro,Seguranca Urbana,6.0,16,200,200,exato,relatorio_loa_2023.pdf
2023,Centro,Zeladoria dos Espacos Publicos,6.0,16,200,200,exato,relatorio_loa_2023.pdf
2023,Leste,Educacao,38.0,42,200,200,exato,relatorio_loa_2023.pdf
2023,Leste,Meio Ambiente,14.0,42,200,200,exato,relatorio_loa_2023.pdf
2023,Leste,"Transito, Transporte, Sistema Viario e Politica Urbana",14.0,42,200,200,exato,relatorio_loa_2023.pdf
2023,Leste,Saude,10.0,42,200,200,exato,relatorio_loa_2023.pdf
2023,Leste,Producao Habitacional e Regularizacao Fundiaria,7.0,42,200,200,exato,relatorio_loa_2023.pdf
2023,Leste,Zeladoria dos Espacos Publicos,7.0,42,200,200,exato,relatorio_loa_2023.pdf
2023,Leste,Seguranca Urbana,5.0,42,200,200,exato,relatorio_loa_2023.pdf
2023,Leste,Esporte,3.0,42,200,200,exato,relatorio_loa_2023.pdf
2023,Leste,Modernizacao e Inovacao Tecnologica,2.0,42,200,200,exato,relatorio_loa_2023.pdf
2023,Norte,Educacao,39.0,83,200,200,exato,relatorio_loa_2023.pdf
2023,Norte,Saude,16.0,83,200,200,exato,relatorio_loa_2023.pdf
2023,Norte,"Transito, Transporte, Sistema Viario e Politica Urbana",11.0,83,200,200,exato,relatorio_loa_2023.pdf
2023,Norte,Meio Ambiente,9.0,83,200,200,exato,relatorio_loa_2023.pdf
2023,Norte,Cultura,7.0,83,200,200,est,relatorio_loa_2023.pdf
2023,Norte,Seguranca Urbana,7.0,83,200,200,est,relatorio_loa_2023.pdf
2023,Norte,Esporte,4.0,83,200,200,est,relatorio_loa_2023.pdf
2023,Norte,Modernizacao e Inovacao Tecnologica,2.0,83,200,200,est,relatorio_loa_2023.pdf
2023,Norte,"Sistema de Abastecimento de Agua, Esgoto e Drenagem",2.0,83,200,200,est,relatorio_loa_2023.pdf
2023,Norte,Assistencia Social e Defesa de Direitos,1.0,83,200,200,est,relatorio_loa_2023.pdf
2023,Norte,"Gestao, Controle e Transparencia Publica",1.0,83,200,200,est,relatorio_loa_2023.pdf
2023,Norte,Producao Habitacional e Regularizacao Fundiaria,1.0,83,200,200,est,relatorio_loa_2023.pdf
2023,Norte,Trabalho e Renda,1.0,83,200,200,est,relatorio_loa_2023.pdf
2023,Oeste,Educacao,23.0,49,200,200,exato,relatorio_loa_2023.pdf
2023,Oeste,"Transito, Transporte, Sistema Viario e Politica Urbana",17.0,49,200,200,exato,relatorio_loa_2023.pdf
2023,Oeste,Saude,16.0,49,200,200,exato,relatorio_loa_2023.pdf
2023,Oeste,Meio Ambiente,10.0,49,200,200,exato,relatorio_loa_2023.pdf
2023,Oeste,Zeladoria dos Espacos Publicos,8.0,49,200,200,exato,relatorio_loa_2023.pdf
2023,Oeste,Esporte,6.0,49,200,200,est,relatorio_loa_2023.pdf
2023,Oeste,Seguranca Urbana,6.0,49,200,200,est,relatorio_loa_2023.pdf
2023,Oeste,Cultura,4.0,49,200,200,est,relatorio_loa_2023.pdf
2023,Oeste,Assistencia Social e Defesa de Direitos,2.0,49,200,200,exato,relatorio_loa_2023.pdf
2023,Oeste,"Gestao, Controle e Transparencia Publica",2.0,49,200,200,exato,relatorio_loa_2023.pdf
2023,Sul,"Transito, Transporte, Sistema Viario e Politica Urbana",50.0,10,200,200,exato,relatorio_loa_2023.pdf
2023,Sul,Educacao,20.0,10,200,200,exato,relatorio_loa_2023.pdf
2023,Sul,Cultura,10.0,10,200,200,exato,relatorio_loa_2023.pdf
2023,Sul,Meio Ambiente,10.0,10,200,200,exato,relatorio_loa_2023.pdf
2023,Sul,Seguranca Urbana,10.0,10,200,200,exato,relatorio_loa_2023.pdf
