ano,regiao,area,percentual,n_formularios_regiao,n_formularios_total,n_propostas_total,qualidade_dado,fonte_arquivo
2025,Centro,Seguranca Urbana,42.85,7,100,277,exato,relatorio_loa_2025.pdf
2025,Centro,Educacao,28.57,7,100,277,exato,relatorio_loa_2025.pdf
2025,Centro,Saude,14.29,7,100,277,exato,relatorio_loa_2025.pdf
2025,Centro,"Transito, Transporte, Sistema Viario e Politica Urbana",14.29,7,100,277,exato,relatorio_loa_2025.pdf
2025,Leste,Seguranca Urbana,25.0,20,100,277,exato,relatorio_loa_2025.pdf
2025,Leste,Educacao,20.0,20,100,277,exato,relatorio_loa_2025.pdf
2025,Leste,Saude,20.0,20,100,277,exato,relatorio_loa_2025.pdf
2025,Leste,"Transito, Transporte, Sistema Viario e Politica Urbana",15.0,20,100,277,exato,relatorio_loa_2025.pdf
2025,Leste,Cultura,5.0,20,100,277,exato,relatorio_loa_2025.pdf
2025,Leste,"Gestao, Controle e Transparencia Publica",5.0,20,100,277,exato,relatorio_loa_2025.pdf
2025,Leste,Meio Ambiente,5.0,20,100,277,exato,relatorio_loa_2025.pdf
2025,Leste,Zeladoria dos Espacos Publicos,5.0,20,100,277,exato,relatorio_loa_2025.pdf
2025,Norte,Zeladoria dos Espacos Publicos,31.38,38,100,277,exato,relatorio_loa_2025.pdf
2025,Norte,"Transito, Transporte, Sistema Viario e Politica Urbana",28.95,38,100,277,exato,relatorio_loa_2025.pdf
2025,Norte,Meio Ambiente,13.04,38,100,277,exato,relatorio_loa_2025.pdf
2025,Norte,Modernizacao e Inovacao Tecnologica,2.67,38,100,277,exato,relatorio_loa_2025.pdf
2025,Norte,Esporte,8.0,38,100,277,est,relatorio_loa_2025.pdf
2025,Norte,Seguranca Urbana,6.0,38,100,277,est,relatorio_loa_2025.pdf
2025,Norte,Saude,5.0,38,100,277,est,relatorio_loa_2025.pdf
2025,Norte,Educacao,5.0,38,100,277,est,relatorio_loa_2025.pdf
2025,Oeste,Zeladoria dos Espacos Publicos,33.33,27,100,277,exato,relatorio_loa_2025.pdf
2025,Oeste,"Transito, Transporte, Sistema Viario e Politica Urbana",13.57,27,100,277,exato,relatorio_loa_2025.pdf
2025,Oeste,Saude,5.37,27,100,277,est,relatorio_loa_2025.pdf
2025,Oeste,Educacao,1.79,27,100,277,est,relatorio_loa_2025.pdf
2025,Oeste,Assistencia Social e Defesa de Direitos,1.76,27,100,277,est,relatorio_loa_2025.pdf
2025,Oeste,"Sistema de Abastecimento de Agua, Esgoto e Drenagem",10.0,27,100,277,est,relatorio_loa_2025.pdf
2025,Oeste,Meio Ambiente,12.0,27,100,277,est,relatorio_loa_2025.pdf
2025,Oeste,Esporte,12.0,27,100,277,est,relatorio_loa_2025.pdf
2025,Oeste,Seguranca Urbana,10.0,27,100,277,est,relatorio_loa_2025.pdf
2025,Sul,"Transito, Transporte, Sistema Viario e Politica Urbana",62.5,8,100,277,exato,relatorio_loa_2025.pdf
2025,Sul,Educacao,12.5,8,100,277,exato,relatorio_loa_2025.pdf
2025,Sul,Meio Ambiente,12.5,8,100,277,exato,relatorio_loa_2025.pdf
2025,Sul,Seguranca Urbana,12.5,8,100,277,exato,relatorio_loa_2025.pdf
