nivel,status_auditavel,orgao,area,tipo_dado,periodo_alvo,pronto_publicar,proximo_passo,pedido_lai,evidencia_local
1-sem-lai,publicado,SICONFI,receita,receitas_rreo_anexo01,2020-2025,sim,manter_atualizacao_anual,nao,data/public/paulinia/receita/saida/receitas_paulinia_{ano}.csv; 6 anos publicados via API SICONFI
1-sem-lai,publicado,SICONFI,executivo,despesas_orcamento_rreo_anexo02,2020-2025,sim,manter_atualizacao_anual,nao,data/public/paulinia/executivo/saida/despesas_executivo_paulinia_{ano}.csv; 6 anos publicados via API SICONFI
1-sem-lai,publicado,SICONFI,seguranca,orcamento_rreo_funcao_seguranca,2020-2025,sim,manter_atualizacao_anual,nao,data/public/paulinia/seguranca/saida/rreo_seguranca_paulinia_{ano}.csv; 6 anos publicados via API SICONFI
1-sem-lai,publicado,SICONFI,transferencias,transferencias_federais,2021-2025,sim,manter_atualizacao_anual,nao,data/public/paulinia/transferencias_federais/saida/transferencias_federais_paulinia_{ano}.csv; 5 anos publicados via API SICONFI
1-sem-lai,publicado,Fazenda_SP,transferencias,transferencias_estaduais_sp,2020-2025,sim,manter_atualizacao_anual,nao,data/public/paulinia/transferencias_estaduais/saida/transferencias_estaduais_sp_paulinia_{ano}.csv; 6 anos publicados via Portal Repasse Fazenda-SP
1-sem-lai,publicado,SICONFI,fiscal,rcl_receita_corrente_liquida,2020-2025,sim,manter_atualizacao_anual,nao,data/public/paulinia/fiscal/saida/rcl_paulinia_{ano}.csv; 6 anos publicados via API SICONFI
1-sem-lai,publicado,SICONFI,fiscal,rcl_capital,2020-2025,sim,manter_atualizacao_anual,nao,data/public/paulinia/fiscal/saida/rcl_capital_paulinia_{ano}.csv; 6 anos publicados via API SICONFI
1-sem-lai,publicado,SICONFI,fiscal,despesa_pessoal_limite_lrf,2020-2025,sim,manter_atualizacao_anual,nao,data/public/paulinia/fiscal/saida/pessoal_paulinia_{ano}.csv; 6 anos publicados via API SICONFI
1-sem-lai,publicado,SICONFI,fiscal,divida_consolidada_liquida,2020-2025,sim,manter_atualizacao_anual,nao,data/public/paulinia/fiscal/saida/divida_paulinia_{ano}.csv; 6 anos publicados via API SICONFI
1-sem-lai,publicado,SICONFI,fiscal,divida_detalhada_rgf,2020-2025,sim,manter_atualizacao_anual,nao,data/public/paulinia/fiscal/saida/divida_detalhada_paulinia_{ano}.csv; 6 anos publicados via API SICONFI
1-sem-lai,publicado,SICONFI,fiscal,rpps_regime_proprio_previdencia,2020-2025,sim,manter_atualizacao_anual,nao,data/public/paulinia/fiscal/saida/rpps_paulinia_{ano}.csv; 6 anos publicados via API SICONFI
1-sem-lai,publicado,SICONFI,fiscal,despesa_por_natureza_rreo,2020-2025,sim,manter_atualizacao_anual,nao,data/public/paulinia/fiscal/saida/natureza_despesa_paulinia_{ano}.csv; 6 anos publicados via API SICONFI
1-sem-lai,publicado,SICONFI,transporte,orcamento_rreo_funcao_transporte,2020-2025,sim,manter_atualizacao_anual,nao,data/public/paulinia/transporte/saida/rreo_transporte_paulinia_{ano}.csv; 6 anos publicados via API SICONFI
1-sem-lai,publicado,SICONFI,transporte,dca_despesa_transporte_subfuncao,2020-2025,sim,manter_atualizacao_anual,nao,data/public/paulinia/transporte/saida/dca_transporte_paulinia_{ano}.csv; 6 anos publicados via API SICONFI
1-sem-lai,publicado,FNS,saude,repasses_faf_fundo_nacional_saude,2020-2025,sim,manter_atualizacao_anual,nao,data/public/paulinia/fns/saida/fns_repasses_faf_com_populacao_paulinia_{ano}.csv; 6 anos publicados via API FNS
1-sem-lai,publicado_parcial,PNCP,compras,licitacoes_contratos_atas,2023-2026,sim,manter_atualizacao_mensal,nao,data/public/paulinia/compras/pncp/saida/: contratos (1063 reg 2024-2026) atas (1429 reg 2024-2026) compras (1457 reg 2023-2026); total 3.949 registros; atualizado em 2026-06-13 via baixar_pncp_playwright.py MUNICIPIO=paulinia
1-sem-lai,publicado_parcial,TCE_SP,controle,contas_e_pareceres,2020-2026,sim,coletar_pdfs_completos_e_alertas_sdg,nao,318 PDFs inventariados + alertas TCE-SP publicados; data/public/paulinia/controle_externo/tce/saida/; inventariar_contas_anuais via baixar_tce_sorocaba.py MUNICIPIO=paulinia
